id,question
q01,"What would you rate 10 out of 10?"
q02,"What is your favourite date idea?"
q03,"What is the most annoying habit that other people have?"
q04,"Do you have a secret escape spot? If yes, what does it look like? If no, how do you want it to be?"
q05,"What lie do you tell most often?"
q06,"A pick-up line you'd like someone to use on you."
q07,"What are three interesting facts about you?"
q08,"If you could make a 20-second phone call to yourself at any point in your life, past or future, when would you call and what would you say?"
q09,"What’s the title of the current chapter of your life?"
q10,"As the only human left on Earth, what would you do?"
q11,"What are some of your personal “rules” that you never break?"
q12,"What question can you ask to find out the most about a person?"
q13,"What lifestyle change have you been meaning to make for a while now?"
q14,"What personality trait do you value most, and which do you dislike the most?"
q15,"What would be some of the most annoying things about having yourself as a roommate?"
q16,"If you could make one rule that everyone had to follow, what rule would you make?"
q17,"Who inspires you to be better?"
q18,"What’s one thing you did that you really wish you could go back and undo?"
q19,"What’s the hardest lesson you’ve learned?"
q20,"What are some things you’ve had to unlearn?"
q21,"What makes a good life?"
